GENE_FROM	MRNA_FROM	CHROM_FROM	START_FROM	STOP_FROM	STRAND_FROM	GENE_TO	MRNA_TO	START_TO	STOP_TO	STRAND_TO	SINGLE_MATCH
GP3.032840.5	bden_t_87725	bdenJAM81_scaffold_4	536084	537043	-1	BDEG_02340	BDET_02347	bden_JEL423_supercont1.2	1742660	1743619	-1	yes
gw1.20.76.1.5	bden_t_7505	bdenJAM81_scaffold_20	117074	117244	1	BDEG_06426	BDET_06444	bden_JEL423_supercont1.10	153293	154009	-1	yes
estExt_fgenesh1_pg.C_60443.5	bden_t_35164	bdenJAM81_scaffold_6	1395488	1399060	-1	BDEG_04542	BDET_04556	bden_JEL423_supercont1.6	154529	157878	-1	yes
fgenesh1_pg.C_scaffold_38000001.5	bden_t_28780	bdenJAM81_scaffold_38	5	536	-1						NO_SYNTENIC_ALIGNMENT
GP3.078920.5	bden_t_92333	bdenJAM81_scaffold_17	174537	175011	-1	BDEG_08467	BDET_08492	bden_JEL423_supercont1.16	345691	346210	-1	yes
estExt_fgenesh1_pg.C_20028.5	bden_t_34343	bdenJAM81_scaffold_2	90724	95216	-1	BDEG_03843	BDET_03853	bden_JEL423_supercont1.4	1730940	1735213	-1	no
estExt_fgenesh1_pg.C_20028.5	bden_t_34343	bdenJAM81_scaffold_2	90724	95216	-1	BDEG_03844	BDET_03854	bden_JEL423_supercont1.4	1735248	1737953	-1	no
e_gw1.10.13.1.5	bden_t_12948	bdenJAM81_scaffold_10	885900	889788	1	BDEG_07120	BDET_07139	bden_JEL423_supercont1.11	874612	878501	-1	yes
GP3.050390.5	bden_t_89480	bdenJAM81_scaffold_8	99551	101266	-1	BDEG_07198	BDET_07217	bden_JEL423_supercont1.12	90907	92603	-1	yes
fgenesh1_pg.C_scaffold_6000033.5	bden_t_24804	bdenJAM81_scaffold_6	123648	123998	1						NO_GENES_IN_INTERVAL
GP3.024410.5	bden_t_86882	bdenJAM81_scaffold_3	872901	874617	1	BDEG_04179	BDET_04191	bden_JEL423_supercont1.5	873746	873964	-1	no
GP3.024410.5	bden_t_86882	bdenJAM81_scaffold_3	872901	874617	1	BDEG_04180	BDET_04192	bden_JEL423_supercont1.5	874460	874898	-1	no
e_gw1.85.1.1.5	bden_t_15091	bdenJAM81_scaffold_85	376	1851	-1						NO_SYNTENIC_ALIGNMENT
e_gw1.6.322.1.5	bden_t_11488	bdenJAM81_scaffold_6	982344	983377	1	BDEG_04684	BDET_04698	bden_JEL423_supercont1.6	568410	570224	-1	yes
fgenesh1_pg.C_scaffold_17000083.5	bden_t_28256	bdenJAM81_scaffold_17	270281	271969	1	BDEG_08428	BDET_08453	bden_JEL423_supercont1.16	246118	247394	-1	yes
estExt_Genewise1Plus.C_130146.5	bden_t_20664	bdenJAM81_scaffold_13	456280	460253	-1	BDEG_06580	BDET_06598	bden_JEL423_supercont1.10	555417	559188	-1	yes
estExt_fgenesh1_kg.C_100023.5	bden_t_37237	bdenJAM81_scaffold_10	290117	291076	1	BDEG_06866	BDET_06885	bden_JEL423_supercont1.11	263101	264361	-1	yes
fgenesh1_pg.C_scaffold_1000075.5	bden_t_21202	bdenJAM81_scaffold_1	222970	224838	1	BDEG_00085	BDET_00085	bden_JEL423_supercont1.1	228434	230301	-1	yes
GP3.026940.5	bden_t_87135	bdenJAM81_scaffold_3	612231	614733	-1	BDEG_04076	BDET_04086	bden_JEL423_supercont1.5	612359	614335	-1	yes
estExt_Genewise1Plus.C_40408.5	bden_t_19329	bdenJAM81_scaffold_4	1261974	1263742	1	BDEG_02066	BDET_02070	bden_JEL423_supercont1.2	1027313	1028406	-1	no
estExt_Genewise1Plus.C_40408.5	bden_t_19329	bdenJAM81_scaffold_4	1261974	1263742	1	BDEG_02067	BDET_02071	bden_JEL423_supercont1.2	1028935	1030591	-1	no
GP3.028300.5	bden_t_87271	bdenJAM81_scaffold_3	958919	959893	1	BDEG_04211	BDET_04223	bden_JEL423_supercont1.5	959596	960714	-1	yes
GP3.034730.5	bden_t_87914	bdenJAM81_scaffold_4	1418429	1420330	1	BDEG_02003	BDET_02007	bden_JEL423_supercont1.2	870729	872306	-1	yes
e_gw1.14.191.1.5	bden_t_14175	bdenJAM81_scaffold_14	5462	6004	-1	BDEG_01928	BDET_01932	bden_JEL423_supercont1.2	675171	676203	-1	yes
estExt_Genewise1.C_170075.5	bden_t_18035	bdenJAM81_scaffold_17	346482	348526	-1	BDEG_08397	BDET_08422	bden_JEL423_supercont1.16	162864	164911	-1	yes
e_gw1.17.78.1.5	bden_t_14650	bdenJAM81_scaffold_17	217185	218216	1	BDEG_08447	BDET_08472	bden_JEL423_supercont1.16	295121	301255	-1	yes
fgenesh1_pg.C_scaffold_122000003.5	bden_t_28958	bdenJAM81_scaffold_122	4262	6002	-1						NO_SYNTENIC_ALIGNMENT
estExt_Genewise1.C_10783.5	bden_t_15519	bdenJAM81_scaffold_1	2415174	2417765	-1	BDEG_00908	BDET_00912	bden_JEL423_supercont1.1	2410481	2412908	-1	yes
estExt_fgenesh1_pg.C_40029.5	bden_t_34711	bdenJAM81_scaffold_4	80973	83209	-1	BDEG_02507	BDET_02514	bden_JEL423_supercont1.2	2193639	2195867	-1	yes
GP3.028520.5	bden_t_87293	bdenJAM81_scaffold_3	1143582	1145607	1	BDEG_04282	BDET_04296	bden_JEL423_supercont1.5	1144703	1146320	-1	yes
estExt_fgenesh1_pg.C_80190.5	bden_t_35401	bdenJAM81_scaffold_8	563465	565611	1	BDEG_06230	BDET_06247	bden_JEL423_supercont1.9	703040	705158	-1	yes
fgenesh1_pg.C_scaffold_4000487.5	bden_t_24248	bdenJAM81_scaffold_4	1496237	1498324	1	BDEG_01976	BDET_01980	bden_JEL423_supercont1.2	792661	794702	-1	yes
estExt_Genewise1Plus.C_20348.5	bden_t_18840	bdenJAM81_scaffold_2	1257142	1259161	-1	BDEG_03414	BDET_03422	bden_JEL423_supercont1.4	561455	563204	-1	yes
e_gw1.1.38.1.5	bden_t_8274	bdenJAM81_scaffold_1	4196894	4201548	1	BDEG_01579	BDET_01583	bden_JEL423_supercont1.1	4224701	4229355	-1	yes
e_gw1.14.143.1.5	bden_t_13972	bdenJAM81_scaffold_14	380254	381852	1	BDEG_01790	BDET_01794	bden_JEL423_supercont1.2	300833	302167	-1	yes
gw1.14.36.1.5	bden_t_1218	bdenJAM81_scaffold_14	366988	368681	-1	BDEG_01795	BDET_01799	bden_JEL423_supercont1.2	312555	315620	-1	yes
estExt_fgenesh1_kg.C_20122.5	bden_t_36674	bdenJAM81_scaffold_2	1798442	1799260	-1						NO_GENES_IN_INTERVAL
fgenesh1_pg.C_scaffold_1000777.5	bden_t_21904	bdenJAM81_scaffold_1	2253799	2255413	-1	BDEG_00857	BDET_00861	bden_JEL423_supercont1.1	2248891	2250505	-1	yes
GP3.012690.5	bden_t_85710	bdenJAM81_scaffold_1	564844	569723	1	BDEG_00210	BDET_00212	bden_JEL423_supercont1.1	570447	575522	-1	yes
fgenesh1_pg.C_scaffold_1000595.5	bden_t_21722	bdenJAM81_scaffold_1	1741997	1745651	1	BDEG_00653	BDET_00657	bden_JEL423_supercont1.1	1740022	1740578	-1	no
fgenesh1_pg.C_scaffold_1000595.5	bden_t_21722	bdenJAM81_scaffold_1	1741997	1745651	1	BDEG_00651	BDET_00655	bden_JEL423_supercont1.1	1736931	1737320	-1	no
fgenesh1_pg.C_scaffold_1000595.5	bden_t_21722	bdenJAM81_scaffold_1	1741997	1745651	1	BDEG_00652	BDET_00656	bden_JEL423_supercont1.1	1737895	1738263	-1	no
fgenesh1_pg.C_scaffold_1000264.5	bden_t_21391	bdenJAM81_scaffold_1	770189	772250	-1	BDEG_00289	BDET_00291	bden_JEL423_supercont1.1	764397	768300	-1	yes
GP3.057140.5	bden_t_90155	bdenJAM81_scaffold_9	920652	921783	-1	BDEG_05641	BDET_05658	bden_JEL423_supercont1.8	152519	153650	-1	yes
fgenesh1_pg.C_scaffold_4000141.5	bden_t_23902	bdenJAM81_scaffold_4	435588	438468	-1	BDEG_02378	BDET_02385	bden_JEL423_supercont1.2	1840182	1843062	-1	yes
e_gw1.18.15.1.5	bden_t_14853	bdenJAM81_scaffold_18	259310	261915	1	BDEG_03093	BDET_03101	bden_JEL423_supercont1.3	1527396	1531292	-1	yes
fgenesh1_pg.C_scaffold_142000002.5	bden_t_28978	bdenJAM81_scaffold_142	2105	5358	1						NO_SYNTENIC_ALIGNMENT
gw1.5.386.1.5	bden_t_6472	bdenJAM81_scaffold_5	688701	689288	1	BDEG_05246	BDET_05261	bden_JEL423_supercont1.7	531524	533296	-1	yes
GP3.049580.5	bden_t_89399	bdenJAM81_scaffold_7	422498	423659	1						NO_GENES_IN_INTERVAL
estExt_fgenesh1_pg.C_70282.5	bden_t_35289	bdenJAM81_scaffold_7	897032	899560	1	BDEG_02860	BDET_02867	bden_JEL423_supercont1.3	885282	887810	-1	yes
e_gw1.7.291.1.5	bden_t_11848	bdenJAM81_scaffold_7	1080706	1081438	-1	BDEG_02924	BDET_02932	bden_JEL423_supercont1.3	1060810	1062389	-1	yes
e_gw1.9.42.1.5	bden_t_12823	bdenJAM81_scaffold_9	377059	379985	-1	BDEG_05849	BDET_05866	bden_JEL423_supercont1.8	697813	700739	-1	yes
fgenesh1_pg.C_scaffold_1000851.5	bden_t_21978	bdenJAM81_scaffold_1	2497335	2501553	-1	BDEG_00945	BDET_00949	bden_JEL423_supercont1.1	2506169	2510267	-1	yes
fgenesh1_pg.C_scaffold_14000192.5	bden_t_27738	bdenJAM81_scaffold_14	602823	604892	-1	BDEG_01711	BDET_01715	bden_JEL423_supercont1.2	98430	99437	-1	yes
estExt_fgenesh1_kg.C_40100.5	bden_t_36859	bdenJAM81_scaffold_4	1289769	1292031	1	BDEG_02053	BDET_02057	bden_JEL423_supercont1.2	1000773	1001270	-1	no
estExt_fgenesh1_kg.C_40100.5	bden_t_36859	bdenJAM81_scaffold_4	1289769	1292031	1	BDEG_02052	BDET_02056	bden_JEL423_supercont1.2	999063	1000295	-1	no
estExt_Genewise1.C_10280.5	bden_t_15313	bdenJAM81_scaffold_1	852736	854595	1	BDEG_00316	BDET_00318	bden_JEL423_supercont1.1	849510	851429	-1	yes
e_gw1.53.6.1.5	bden_t_15059	bdenJAM81_scaffold_53	6303	6710	1						NO_SYNTENIC_ALIGNMENT
GP3.088810.5	bden_t_93322	bdenJAM81_scaffold_210	359	526	-1						NO_SYNTENIC_ALIGNMENT
GP3.013490.5	bden_t_85790	bdenJAM81_scaffold_1	1453245	1455941	1	BDEG_00539	BDET_00542	bden_JEL423_supercont1.1	1453392	1456088	-1	yes
GP3.066160.5	bden_t_91057	bdenJAM81_scaffold_11	847401	849052	1	BDEG_07795	BDET_07816	bden_JEL423_supercont1.13	782059	783751	-1	yes
gw1.9.224.1.5	bden_t_4599	bdenJAM81_scaffold_9	711199	711950	-1	BDEG_05728	BDET_05745	bden_JEL423_supercont1.8	362071	363371	-1	yes
fgenesh1_pg.C_scaffold_1001484.5	bden_t_22611	bdenJAM81_scaffold_1	4420246	4422107	1						NO_SYNTENIC_ALIGNMENT
GP3.005740.5	bden_t_85015	bdenJAM81_scaffold_1	3178240	3179732	1	BDEG_01192	BDET_01196	bden_JEL423_supercont1.1	3205695	3206869	-1	yes
fgenesh1_kg.C_scaffold_12000033.5	bden_t_32259	bdenJAM81_scaffold_12	504552	505142	-1	BDEG_07395	BDET_07415	bden_JEL423_supercont1.12	648727	649796	-1	yes
e_gw1.12.11.1.5	bden_t_13539	bdenJAM81_scaffold_12	295657	300179	-1	BDEG_07330	BDET_07350	bden_JEL423_supercont1.12	440614	445374	-1	yes
GP3.062670.5	bden_t_90708	bdenJAM81_scaffold_10	803690	804124	1	BDEG_07091	BDET_07110	bden_JEL423_supercont1.11	789101	789860	-1	yes
GP3.070940.5	bden_t_91535	bdenJAM81_scaffold_13	26072	26875	-1	BDEG_06753	BDET_06771	bden_JEL423_supercont1.10	989210	989842	-1	yes
GP3.088540.5	bden_t_93295	bdenJAM81_scaffold_188	4012	4440	1						NO_SYNTENIC_ALIGNMENT
estExt_fgenesh1_kg.C_60064.5	bden_t_36995	bdenJAM81_scaffold_6	1438977	1439970	-1	BDEG_04525	BDET_04539	bden_JEL423_supercont1.6	112625	114422	-1	yes
GP3.069130.5	bden_t_91354	bdenJAM81_scaffold_13	150944	152986	-1	BDEG_06705	BDET_06723	bden_JEL423_supercont1.10	861390	863390	-1	no
GP3.069130.5	bden_t_91354	bdenJAM81_scaffold_13	150944	152986	-1	BDEG_06706	BDET_06724	bden_JEL423_supercont1.10	863307	864130	-1	no
estExt_fgenesh1_pg.C_40084.5	bden_t_34735	bdenJAM81_scaffold_4	266810	269157	-1	BDEG_02436	BDET_02443	bden_JEL423_supercont1.2	2007725	2009936	-1	no
estExt_fgenesh1_pg.C_40084.5	bden_t_34735	bdenJAM81_scaffold_4	266810	269157	-1	BDEG_02437	BDET_02444	bden_JEL423_supercont1.2	2010031	2012177	-1	no
estExt_fgenesh1_pg.C_60430.5	bden_t_35161	bdenJAM81_scaffold_6	1346037	1348831	1	BDEG_04558	BDET_04572	bden_JEL423_supercont1.6	205077	207369	-1	yes
estExt_Genewise1.C_150133.5	bden_t_17918	bdenJAM81_scaffold_15	444018	446515	1	BDEG_07928	BDET_07950	bden_JEL423_supercont1.14	424329	426691	-1	yes
estExt_Genewise1Plus.C_10186.5	bden_t_18227	bdenJAM81_scaffold_1	534147	536307	1	BDEG_00202	BDET_00204	bden_JEL423_supercont1.1	539752	541892	-1	yes
GP3.031370.5	bden_t_87578	bdenJAM81_scaffold_4	1356536	1357444	-1	BDEG_02030	BDET_02034	bden_JEL423_supercont1.2	933651	934304	-1	yes
e_gw1.4.336.1.5	bden_t_10671	bdenJAM81_scaffold_4	1127848	1128539	1	BDEG_02111	BDET_02116	bden_JEL423_supercont1.2	1160390	1161383	-1	yes
e_gw1.3.296.1.5	bden_t_10248	bdenJAM81_scaffold_3	791072	792807	1	BDEG_04146	BDET_04158	bden_JEL423_supercont1.5	791443	793597	-1	yes
GP3.037320.5	bden_t_88173	bdenJAM81_scaffold_5	1294428	1295576	-1	BDEG_05487	BDET_05504	bden_JEL423_supercont1.7	1137823	1138971	-1	yes
GP3.036330.5	bden_t_88074	bdenJAM81_scaffold_5	1082391	1083918	-1	BDEG_05398	BDET_05415	bden_JEL423_supercont1.7	925713	927198	-1	yes
estExt_Genewise1Plus.C_130205.5	bden_t_20693	bdenJAM81_scaffold_13	571281	572948	-1	BDEG_06538	BDET_06556	bden_JEL423_supercont1.10	443587	444729	-1	yes
fgenesh1_pg.C_scaffold_3000462.5	bden_t_23666	bdenJAM81_scaffold_3	1414004	1417438	1	BDEG_04379	BDET_04393	bden_JEL423_supercont1.5	1416054	1417579	-1	no
fgenesh1_pg.C_scaffold_3000462.5	bden_t_23666	bdenJAM81_scaffold_3	1414004	1417438	1	BDEG_04380	BDET_04394	bden_JEL423_supercont1.5	1418017	1419020	-1	no
estExt_Genewise1.C_30083.5	bden_t_15995	bdenJAM81_scaffold_3	304404	309430	-1	BDEG_03973	BDET_03983	bden_JEL423_supercont1.5	301064	302227	-1	no
estExt_Genewise1.C_30083.5	bden_t_15995	bdenJAM81_scaffold_3	304404	309430	-1	BDEG_03974	BDET_03984	bden_JEL423_supercont1.5	302750	305198	-1	no
estExt_Genewise1.C_30083.5	bden_t_15995	bdenJAM81_scaffold_3	304404	309430	-1	BDEG_03975	BDET_03985	bden_JEL423_supercont1.5	305565	309724	-1	no
GP3.028690.5	bden_t_87310	bdenJAM81_scaffold_3	1495986	1498484	1	BDEG_04409	BDET_04423	bden_JEL423_supercont1.5	1498038	1500536	-1	yes
fgenesh1_pg.C_scaffold_4000296.5	bden_t_24057	bdenJAM81_scaffold_4	870068	871268	1						NO_GENES_IN_INTERVAL
fgenesh1_kg.C_scaffold_18000032.5	bden_t_32529	bdenJAM81_scaffold_18	537233	537856	-1						NO_SYNTENIC_ALIGNMENT
fgenesh1_pg.C_scaffold_3000068.5	bden_t_23272	bdenJAM81_scaffold_3	222577	223089	-1	BDEG_03944	BDET_03954	bden_JEL423_supercont1.5	218993	219617	-1	yes
GP3.066080.5	bden_t_91049	bdenJAM81_scaffold_11	791433	791684	1						NO_GENES_IN_INTERVAL
estExt_Genewise1Plus.C_30335.5	bden_t_19051	bdenJAM81_scaffold_3	1216674	1219229	1	BDEG_04312	BDET_04326	bden_JEL423_supercont1.5	1217219	1219758	-1	yes
GP3.058510.5	bden_t_90292	bdenJAM81_scaffold_9	453797	454743	1	BDEG_05822	BDET_05839	bden_JEL423_supercont1.8	623146	623893	-1	yes
GP3.050090.5	bden_t_89450	bdenJAM81_scaffold_7	1082177	1082539	1	BDEG_02925	BDET_02933	bden_JEL423_supercont1.3	1063392	1063754	-1	yes
GP3.037640.5	bden_t_88205	bdenJAM81_scaffold_5	944787	945106	-1	BDEG_05346	BDET_05362	bden_JEL423_supercont1.7	788007	788916	-1	yes
fgenesh1_pg.C_scaffold_2000431.5	bden_t_23044	bdenJAM81_scaffold_2	1321590	1326882	-1	BDEG_03386	BDET_03394	bden_JEL423_supercont1.4	493601	495830	-1	no
fgenesh1_pg.C_scaffold_2000431.5	bden_t_23044	bdenJAM81_scaffold_2	1321590	1326882	-1	BDEG_03387	BDET_03395	bden_JEL423_supercont1.4	496256	498893	-1	no
estExt_Genewise1.C_90330.5	bden_t_17291	bdenJAM81_scaffold_9	998280	1002770	-1	BDEG_05610	BDET_05627	bden_JEL423_supercont1.8	71660	75913	-1	yes
GP3.087220.5	bden_t_93163	bdenJAM81_scaffold_98	5736	6743	1						NO_SYNTENIC_ALIGNMENT
estExt_Genewise1.C_130274.5	bden_t_17756	bdenJAM81_scaffold_13	743793	745566	-1	BDEG_06469	BDET_06487	bden_JEL423_supercont1.10	260045	272454	-1	yes
estExt_fgenesh1_kg.C_10197.5	bden_t_36496	bdenJAM81_scaffold_1	2847225	2848712	1	BDEG_01071	BDET_01075	bden_JEL423_supercont1.1	2857411	2858561	-1	yes
fgenesh1_pg.C_scaffold_14000004.5	bden_t_27550	bdenJAM81_scaffold_14	7516	12217	-1	BDEG_01926	BDET_01930	bden_JEL423_supercont1.2	669265	673696	-1	yes
estExt_fgenesh1_kg.C_10231.5	bden_t_36526	bdenJAM81_scaffold_1	3257783	3259210	1	BDEG_01224	BDET_01228	bden_JEL423_supercont1.1	3284616	3286019	-1	yes
estExt_fgenesh1_kg.C_20107.5	bden_t_36665	bdenJAM81_scaffold_2	1560339	1561058	-1	BDEG_03301	BDET_03309	bden_JEL423_supercont1.4	251705	253488	-1	yes
fgenesh1_pg.C_scaffold_79000002.5	bden_t_28873	bdenJAM81_scaffold_79	3040	4377	1						NO_SYNTENIC_ALIGNMENT
estExt_Genewise1Plus.C_10683.5	bden_t_18429	bdenJAM81_scaffold_1	2030411	2031788	1	BDEG_00769	BDET_00773	bden_JEL423_supercont1.1	2025385	2026740	-1	yes
GP3.065500.5	bden_t_90991	bdenJAM81_scaffold_11	157741	158776	1	BDEG_07546	BDET_07566	bden_JEL423_supercont1.13	123702	129425	-1	yes
GP3.071160.5	bden_t_91557	bdenJAM81_scaffold_13	149426	149841	1	BDEG_06707	BDET_06725	bden_JEL423_supercont1.10	864537	864952	-1	yes
fgenesh1_pg.C_scaffold_6000333.5	bden_t_25104	bdenJAM81_scaffold_6	1007125	1009086	1	BDEG_04672	BDET_04686	bden_JEL423_supercont1.6	541614	543581	-1	yes
estExt_Genewise1Plus.C_40206.5	bden_t_19235	bdenJAM81_scaffold_4	647803	648982	-1	BDEG_02299	BDET_02305	bden_JEL423_supercont1.2	1643094	1644241	-1	yes
GP3.022680.5	bden_t_86709	bdenJAM81_scaffold_2	1672208	1680377	1	BDEG_03258	BDET_03266	bden_JEL423_supercont1.4	133622	141791	-1	yes
estExt_fgenesh1_kg.C_160016.5	bden_t_37501	bdenJAM81_scaffold_16	300280	302062	1	BDEG_08138	BDET_08162	bden_JEL423_supercont1.15	82288	83944	-1	yes
fgenesh1_pg.C_scaffold_3000061.5	bden_t_23265	bdenJAM81_scaffold_3	200244	203639	-1	BDEG_03937	BDET_03947	bden_JEL423_supercont1.5	196259	199600	-1	yes
GP3.069940.5	bden_t_91435	bdenJAM81_scaffold_13	573101	575155	-1	BDEG_06537	BDET_06555	bden_JEL423_supercont1.10	441563	443132	-1	yes
GP3.018040.5	bden_t_86245	bdenJAM81_scaffold_2	989158	993554	1	BDEG_03502	BDET_03510	bden_JEL423_supercont1.4	822419	826210	-1	yes
GP3.041440.5	bden_t_88585	bdenJAM81_scaffold_6	657345	658584	1	BDEG_04815	BDET_04829	bden_JEL423_supercont1.6	894581	900582	-1	yes
e_gw1.11.316.1.5	bden_t_13329	bdenJAM81_scaffold_11	755722	755952	-1						NO_GENES_IN_INTERVAL
fgenesh1_pg.C_scaffold_2000173.5	bden_t_22786	bdenJAM81_scaffold_2	487800	490580	-1	BDEG_03675	BDET_03684	bden_JEL423_supercont1.4	1325600	1328380	-1	yes
estExt_Genewise1Plus.C_50207.5	bden_t_19468	bdenJAM81_scaffold_5	874097	876522	1	BDEG_05311	BDET_05327	bden_JEL423_supercont1.7	717117	717467	-1	no
estExt_Genewise1Plus.C_50207.5	bden_t_19468	bdenJAM81_scaffold_5	874097	876522	1	BDEG_05312	BDET_05328	bden_JEL423_supercont1.7	718246	719679	-1	no
GP3.064130.5	bden_t_90854	bdenJAM81_scaffold_11	816579	817422	-1	BDEG_07783	BDET_07804	bden_JEL423_supercont1.13	751205	752152	-1	yes
fgenesh1_pg.C_scaffold_17000130.5	bden_t_28303	bdenJAM81_scaffold_17	416158	418149	-1	BDEG_08367	BDET_08392	bden_JEL423_supercont1.16	93373	94265	-1	yes
fgenesh1_pg.C_scaffold_8000387.5	bden_t_26055	bdenJAM81_scaffold_8	1173460	1174247	1	BDEG_06004	BDET_06021	bden_JEL423_supercont1.9	89645	90432	-1	yes
fgenesh1_pg.C_scaffold_11000093.5	bden_t_26838	bdenJAM81_scaffold_11	299267	301118	-1	BDEG_07602	BDET_07622	bden_JEL423_supercont1.13	270896	271580	-1	no
fgenesh1_pg.C_scaffold_11000093.5	bden_t_26838	bdenJAM81_scaffold_11	299267	301118	-1	BDEG_07601	BDET_07621	bden_JEL423_supercont1.13	269898	270416	-1	no
GP3.056550.5	bden_t_90096	bdenJAM81_scaffold_9	828763	829863	1	BDEG_05681	BDET_05698	bden_JEL423_supercont1.8	244482	245569	-1	yes
fgenesh1_pg.C_scaffold_12000211.5	bden_t_27262	bdenJAM81_scaffold_12	659098	659766	1	BDEG_07463	BDET_07483	bden_JEL423_supercont1.12	814122	814790	-1	yes
estExt_Genewise1Plus.C_70011.5	bden_t_19699	bdenJAM81_scaffold_7	69199	71516	1	BDEG_02560	BDET_02567	bden_JEL423_supercont1.3	56294	58755	-1	yes
GP3.082020.5	bden_t_92643	bdenJAM81_scaffold_18	35298	37259	1	BDEG_03009	BDET_03017	bden_JEL423_supercont1.3	1307220	1309181	-1	yes
GP3.066800.5	bden_t_91121	bdenJAM81_scaffold_12	414727	416962	-1	BDEG_07369	BDET_07389	bden_JEL423_supercont1.12	559511	561631	-1	yes
estExt_fgenesh1_kg.C_60010.5	bden_t_36951	bdenJAM81_scaffold_6	283974	286126	-1	BDEG_04960	BDET_04975	bden_JEL423_supercont1.6	1273148	1275061	-1	yes
fgenesh1_pg.C_scaffold_7000344.5	bden_t_25592	bdenJAM81_scaffold_7	1075745	1076613	1	BDEG_02922	BDET_02930	bden_JEL423_supercont1.3	1056960	1057502	-1	yes
fgenesh1_kg.C_scaffold_8000084.5	bden_t_32006	bdenJAM81_scaffold_8	1229231	1229813	-1						NO_GENES_IN_INTERVAL
estExt_fgenesh1_pg.C_40182.5	bden_t_34779	bdenJAM81_scaffold_4	559543	564030	-1	BDEG_02330	BDET_02336	bden_JEL423_supercont1.2	1715673	1720118	-1	yes
GP3.080340.5	bden_t_92475	bdenJAM81_scaffold_17	328691	329305	1	BDEG_08405	BDET_08430	bden_JEL423_supercont1.16	188779	189575	-1	yes
estExt_Genewise1Plus.C_140084.5	bden_t_20768	bdenJAM81_scaffold_14	260363	263136	1	BDEG_01831	BDET_01835	bden_JEL423_supercont1.2	419422	422124	-1	yes
fgenesh1_pg.C_scaffold_2000193.5	bden_t_22806	bdenJAM81_scaffold_2	556092	562960	-1	BDEG_03652	BDET_03661	bden_JEL423_supercont1.4	1256167	1260099	-1	yes
fgenesh1_pg.C_scaffold_14000179.5	bden_t_27725	bdenJAM81_scaffold_14	555515	557407	-1	BDEG_01732	BDET_01736	bden_JEL423_supercont1.2	145707	147535	-1	yes
fgenesh1_pg.C_scaffold_6000439.5	bden_t_25210	bdenJAM81_scaffold_6	1358920	1362050	-1	BDEG_04553	BDET_04567	bden_JEL423_supercont1.6	192596	194476	-1	yes
e_gw1.7.232.1.5	bden_t_12121	bdenJAM81_scaffold_7	1194819	1195997	-1	BDEG_02962	BDET_02970	bden_JEL423_supercont1.3	1176065	1177599	-1	yes
e_gw1.5.31.1.5	bden_t_11272	bdenJAM81_scaffold_5	1326574	1329835	1	BDEG_05501	BDET_05518	bden_JEL423_supercont1.7	1169129	1173294	-1	yes
estExt_Genewise1.C_40054.5	bden_t_16206	bdenJAM81_scaffold_4	280054	282254	1	BDEG_02430	BDET_02437	bden_JEL423_supercont1.2	1994801	1996828	-1	yes
gw1.1.878.1.5	bden_t_4427	bdenJAM81_scaffold_1	3803233	3803811	-1	BDEG_01431	BDET_01435	bden_JEL423_supercont1.1	3831781	3832950	-1	yes
fgenesh1_pg.C_scaffold_1000740.5	bden_t_21867	bdenJAM81_scaffold_1	2148564	2150410	-1	BDEG_00817	BDET_00821	bden_JEL423_supercont1.1	2143827	2145536	-1	yes
fgenesh1_pg.C_scaffold_1000790.5	bden_t_21917	bdenJAM81_scaffold_1	2293815	2296831	-1	BDEG_00874	BDET_00878	bden_JEL423_supercont1.1	2291866	2294538	-1	no
fgenesh1_pg.C_scaffold_1000790.5	bden_t_21917	bdenJAM81_scaffold_1	2293815	2296831	-1	BDEG_00873	BDET_00877	bden_JEL423_supercont1.1	2288987	2291789	-1	no
e_gw1.4.463.1.5	bden_t_10803	bdenJAM81_scaffold_4	1248052	1248638	-1	BDEG_02072	BDET_02076	bden_JEL423_supercont1.2	1042109	1043047	-1	yes
GP3.021010.5	bden_t_86542	bdenJAM81_scaffold_2	48443	51019	-1	BDEG_03858	BDET_03868	bden_JEL423_supercont1.4	1775085	1777661	-1	yes
GP3.051740.5	bden_t_89615	bdenJAM81_scaffold_8	857218	860269	1	BDEG_06120	BDET_06137	bden_JEL423_supercont1.9	406452	409479	-1	yes
GP3.034400.5	bden_t_87881	bdenJAM81_scaffold_4	1061878	1062261	1	BDEG_02132	BDET_02137	bden_JEL423_supercont1.2	1227022	1227405	-1	yes
estExt_fgenesh1_kg.C_100052.5	bden_t_37263	bdenJAM81_scaffold_10	615527	616988	1	BDEG_07009	BDET_07028	bden_JEL423_supercont1.11	599980	601198	-1	yes
fgenesh1_pg.C_scaffold_3000514.5	bden_t_23718	bdenJAM81_scaffold_3	1574554	1575015	1	BDEG_04440	BDET_04454	bden_JEL423_supercont1.5	1576622	1577163	-1	yes
GP3.074520.5	bden_t_91893	bdenJAM81_scaffold_15	154822	158217	-1	BDEG_08041	BDET_08064	bden_JEL423_supercont1.14	716015	716366	-1	no
GP3.074520.5	bden_t_91893	bdenJAM81_scaffold_15	154822	158217	-1	BDEG_08040	BDET_08063	bden_JEL423_supercont1.14	712418	715610	-1	no
GP3.054520.5	bden_t_89893	bdenJAM81_scaffold_8	460945	463831	1	BDEG_06277	BDET_06294	bden_JEL423_supercont1.9	816512	817662	-1	no
