GLEAN_PASA	MRNA_FROM	CHROM	START_FROM	STOP_FROM	STRAND_FROM	JGI	MRNA_TO	START_TO	STOP_TO	STRAND_TO	SINGLE_MATCH
GLEANP3_015570	GLEANP3_015570.t1	bdenJAM81_scaffold_1	3746377	3749723	1	fgenesh1_pg.C_scaffold_1001261.5	bden_t_22388	fgenesh1_pg.C_scaffold_1001261.5	3746377	3749723	1	yes
GLEANP3_015580	GLEANP3_015580.t1	bdenJAM81_scaffold_1	3761219	3761491	1	GP3.015580.5	bden_t_85999	GP3.015580.5	3761219	3761491	1	yes
GLEANP3_015590	GLEANP3_015590.t1	bdenJAM81_scaffold_1	3764419	3764727	1	GP3.015590.5	bden_t_86000	GP3.015590.5	3764419	3764727	1	yes
GLEANP3_015600	GLEANP3_015600.t1	bdenJAM81_scaffold_1	3767214	3769966	1	GP3.015600.5	bden_t_86001	GP3.015600.5	3767214	3769966	1	yes
GLEANP3_015610	GLEANP3_015610.t1	bdenJAM81_scaffold_1	3771084	3771818	1	GP3.015610.5	bden_t_86002	GP3.015610.5	3771084	3771818	1	yes
GLEANP3_015620	GLEANP3_015620.t1	bdenJAM81_scaffold_1	3772931	3773378	1	fgenesh1_pg.C_scaffold_1001267.5	bden_t_22394	fgenesh1_pg.C_scaffold_1001267.5	3772931	3774324	1	yes
GLEANP3_015630	GLEANP3_015630.t1	bdenJAM81_scaffold_1	3773570	3774324	1	fgenesh1_pg.C_scaffold_1001267.5	bden_t_22394	fgenesh1_pg.C_scaffold_1001267.5	3772931	3774324	1	yes
GLEANP3_015640	GLEANP3_015640.t1	bdenJAM81_scaffold_1	3775413	3776237	1	gw1.1.776.1.5	bden_t_3908	gw1.1.776.1.5	3775251	3776066	1	yes
GLEANP3_015650	GLEANP3_015650.t1	bdenJAM81_scaffold_1	3795747	3797148	1	estExt_fgenesh1_pg.C_11261.5	bden_t_34279	estExt_fgenesh1_pg.C_11261.5	3795288	3798955	1	yes
GLEANP3_015660	GLEANP3_015660.t1	bdenJAM81_scaffold_1	3797238	3798887	1	estExt_fgenesh1_pg.C_11261.5	bden_t_34279	estExt_fgenesh1_pg.C_11261.5	3795288	3798955	1	yes
GLEANP3_015670	GLEANP3_015670.t1	bdenJAM81_scaffold_1	3799500	3799736	1	GP3.015670.5	bden_t_86008	GP3.015670.5	3799500	3799736	1	yes
GLEANP3_015680	GLEANP3_015680.t1	bdenJAM81_scaffold_1	3802220	3802900	1	gw1.1.1298.1.5	bden_t_6715	gw1.1.1298.1.5	3802238	3802765	1	yes
GLEANP3_015690	GLEANP3_015690.t1	bdenJAM81_scaffold_1	3804492	3808259	1	GP3.015690.5	bden_t_86010	GP3.015690.5	3804492	3808259	1	yes
GLEANP3_015700	GLEANP3_015700.t1	bdenJAM81_scaffold_1	3808395	3809733	1	e_gw1.1.1249.1.5	bden_t_9270	e_gw1.1.1249.1.5	3808395	3808907	1	yes
GLEANP3_015710	GLEANP3_015710.t1	bdenJAM81_scaffold_1	3814919	3815458	1	fgenesh1_pg.C_scaffold_1001281.5	bden_t_22408	fgenesh1_pg.C_scaffold_1001281.5	3814235	3815458	1	yes
GLEANP3_015720	GLEANP3_015720.t1	bdenJAM81_scaffold_1	3822755	3824890	1	GP3.015720.5	bden_t_86013	GP3.015720.5	3822755	3824890	1	yes
GLEANP3_015730	GLEANP3_015730.t1	bdenJAM81_scaffold_1	3826113	3826742	1	GP3.015730.5	bden_t_86014	GP3.015730.5	3826113	3826742	1	yes
GLEANP3_015740	GLEANP3_015740.t1	bdenJAM81_scaffold_1	3848737	3849285	1	GP3.015740.5	bden_t_86015	GP3.015740.5	3848737	3849285	1	yes
GLEANP3_015750	GLEANP3_015750.t1	bdenJAM81_scaffold_1	3870752	3871806	1	e_gw1.1.42.1.5	bden_t_8420	e_gw1.1.42.1.5	3871507	3876122	1	yes
GLEANP3_015760	GLEANP3_015760.t1	bdenJAM81_scaffold_1	3872152	3876827	1	GP3.006730.5	bden_t_85114	GP3.006730.5	3876219	3878052	-1	no
GLEANP3_015760	GLEANP3_015760.t1	bdenJAM81_scaffold_1	3872152	3876827	1	e_gw1.1.42.1.5	bden_t_8420	e_gw1.1.42.1.5	3871507	3876122	1	no
GLEANP3_015770	GLEANP3_015770.t1	bdenJAM81_scaffold_1	3883061	3885553	1	fgenesh1_pg.C_scaffold_1001300.5	bden_t_22427	fgenesh1_pg.C_scaffold_1001300.5	3882887	3885553	1	yes
GLEANP3_015780	GLEANP3_015780.t1	bdenJAM81_scaffold_1	3908187	3910655	1	GP3.015780.5	bden_t_86019	GP3.015780.5	3908187	3910655	1	yes
GLEANP3_015790	GLEANP3_015790.t1	bdenJAM81_scaffold_1	3910810	3911115	1	GP3.015790.5	bden_t_86020	GP3.015790.5	3910810	3911115	1	yes
GLEANP3_015800	GLEANP3_015800.t1	bdenJAM81_scaffold_1	3915298	3923279	1	fgenesh1_pg.C_scaffold_1001310.5	bden_t_22437	fgenesh1_pg.C_scaffold_1001310.5	3915100	3923279	1	yes
GLEANP3_015810	GLEANP3_015810.t1	bdenJAM81_scaffold_1	3924952	3927363	1	GP3.015810.5	bden_t_86022	GP3.015810.5	3924952	3927363	1	yes
GLEANP3_015820	GLEANP3_015820.t1	bdenJAM81_scaffold_1	3943907	3945028	1	GP3.015820.5	bden_t_86023	GP3.015820.5	3943907	3945028	1	yes
GLEANP3_015830	GLEANP3_015830.t1	bdenJAM81_scaffold_1	3945285	3945744	1	fgenesh1_pg.C_scaffold_1001318.5	bden_t_22445	fgenesh1_pg.C_scaffold_1001318.5	3945285	3945744	1	yes
GLEANP3_015840	GLEANP3_015840.t1	bdenJAM81_scaffold_1	3948520	3949417	1	fgenesh1_pm.C_scaffold_1000323.5	bden_t_29385	fgenesh1_pm.C_scaffold_1000323.5	3948520	3950762	1	yes
GLEANP3_015850	GLEANP3_015850.t1	bdenJAM81_scaffold_1	3952882	3953908	1	GP3.015850.5	bden_t_86026	GP3.015850.5	3952882	3953908	1	yes
GLEANP3_015860	GLEANP3_015860.t1	bdenJAM81_scaffold_1	3965493	3966321	1	GP3.015860.5	bden_t_86027	GP3.015860.5	3965493	3966321	1	yes
GLEANP3_015870	GLEANP3_015870.t1	bdenJAM81_scaffold_1	3990895	3993404	1	GP3.015870.5	bden_t_86028	GP3.015870.5	3990895	3993404	1	yes
GLEANP3_015880	GLEANP3_015880.t1	bdenJAM81_scaffold_1	4002677	4005425	1	fgenesh1_pg.C_scaffold_1001337.5	bden_t_22464	fgenesh1_pg.C_scaffold_1001337.5	4002677	4004940	1	yes
GLEANP3_015890	GLEANP3_015890.t1	bdenJAM81_scaffold_1	4005734	4008546	1	estExt_Genewise1.C_11305.5	bden_t_15739	estExt_Genewise1.C_11305.5	4005715	4008592	1	yes
GLEANP3_015900	GLEANP3_015900.t1	bdenJAM81_scaffold_1	4010807	4011830	1	GP3.015900.5	bden_t_86031	GP3.015900.5	4010807	4011830	1	yes
GLEANP3_015910	GLEANP3_015910.t1	bdenJAM81_scaffold_1	4012005	4016459	1	GP3.015910.5	bden_t_86032	GP3.015910.5	4012005	4016459	1	yes
GLEANP3_015920	GLEANP3_015920.t1	bdenJAM81_scaffold_1	4031871	4032296	1	GP3.015920.5	bden_t_86033	GP3.015920.5	4031871	4032296	1	yes
GLEANP3_015930	GLEANP3_015930.t1	bdenJAM81_scaffold_1	4034687	4037817	1	e_gw1.1.174.1.5	bden_t_8026	e_gw1.1.174.1.5	4034951	4037817	1	yes
GLEANP3_015940	GLEANP3_015940.t1	bdenJAM81_scaffold_1	4052006	4052610	1	GP3.015940.5	bden_t_86035	GP3.015940.5	4052006	4052610	1	yes
GLEANP3_015950	GLEANP3_015950.t1	bdenJAM81_scaffold_1	4070764	4071773	1	estExt_fgenesh1_pg.C_11348.5	bden_t_34308	estExt_fgenesh1_pg.C_11348.5	4069740	4071939	1	yes
GLEANP3_015960	GLEANP3_015960.t1	bdenJAM81_scaffold_1	4077683	4078956	1	GP3.015960.5	bden_t_86037	GP3.015960.5	4077683	4078956	1	yes
GLEANP3_015970	GLEANP3_015970.t1	bdenJAM81_scaffold_1	4079397	4080478	1	GP3.015970.5	bden_t_86038	GP3.015970.5	4079397	4080478	1	yes
GLEANP3_015980	GLEANP3_015980.t1	bdenJAM81_scaffold_1	4080990	4081966	1	GP3.015980.5	bden_t_86039	GP3.015980.5	4080990	4081966	1	yes
GLEANP3_015990	GLEANP3_015990.t1	bdenJAM81_scaffold_1	4084353	4084721	1	fgenesh1_pg.C_scaffold_1001367.5	bden_t_22494	fgenesh1_pg.C_scaffold_1001367.5	4084353	4087801	1	yes
GLEANP3_016000	GLEANP3_016000.t1	bdenJAM81_scaffold_1	4086444	4087801	1	fgenesh1_pg.C_scaffold_1001367.5	bden_t_22494	fgenesh1_pg.C_scaffold_1001367.5	4084353	4087801	1	yes
GLEANP3_016010	GLEANP3_016010.t1	bdenJAM81_scaffold_1	4113307	4114122	1	fgenesh1_pg.C_scaffold_1001376.5	bden_t_22503	fgenesh1_pg.C_scaffold_1001376.5	4110185	4113476	-1	yes
GLEANP3_016020	GLEANP3_016020.t1	bdenJAM81_scaffold_1	4130118	4131749	1	GP3.016020.5	bden_t_86043	GP3.016020.5	4130118	4131749	1	yes
GLEANP3_016030	GLEANP3_016030.t1	bdenJAM81_scaffold_1	4137659	4139028	1	e_gw1.1.1367.1.5	bden_t_8519	e_gw1.1.1367.1.5	4138523	4138891	1	yes
GLEANP3_016040	GLEANP3_016040.t1	bdenJAM81_scaffold_1	4150681	4152923	1	GP3.016040.5	bden_t_86045	GP3.016040.5	4150681	4152923	1	yes
GLEANP3_016050	GLEANP3_016050.t1	bdenJAM81_scaffold_1	4166379	4167537	1	GP3.016050.5	bden_t_86046	GP3.016050.5	4166379	4167537	1	yes
GLEANP3_016060	GLEANP3_016060.t1	bdenJAM81_scaffold_1	4196894	4201548	1	e_gw1.1.38.1.5	bden_t_8274	e_gw1.1.38.1.5	4196894	4201548	1	yes
GLEANP3_016070	GLEANP3_016070.t1	bdenJAM81_scaffold_1	4201887	4204947	1	fgenesh1_pg.C_scaffold_1001403.5	bden_t_22530	fgenesh1_pg.C_scaffold_1001403.5	4201797	4205030	1	yes
GLEANP3_016080	GLEANP3_016080.t1	bdenJAM81_scaffold_1	4208422	4209333	1	GP3.016080.5	bden_t_86049	GP3.016080.5	4208422	4209333	1	yes
GLEANP3_016090	GLEANP3_016090.t1	bdenJAM81_scaffold_1	4210265	4211377	1	fgenesh1_pg.C_scaffold_1001406.5	bden_t_22533	fgenesh1_pg.C_scaffold_1001406.5	4210247	4211377	1	yes
GLEANP3_016100	GLEANP3_016100.t1	bdenJAM81_scaffold_1	4211639	4212711	1	fgenesh1_pg.C_scaffold_1001407.5	bden_t_22534	fgenesh1_pg.C_scaffold_1001407.5	4211582	4212711	1	yes
GLEANP3_016110	GLEANP3_016110.t1	bdenJAM81_scaffold_1	4213209	4213896	1	fgenesh1_pg.C_scaffold_1001408.5	bden_t_22535	fgenesh1_pg.C_scaffold_1001408.5	4212990	4213896	1	yes
GLEANP3_016120	GLEANP3_016120.t1	bdenJAM81_scaffold_1	4214308	4216705	1	GP3.016120.5	bden_t_86053	GP3.016120.5	4214308	4216705	1	yes
GLEANP3_016130	GLEANP3_016130.t1	bdenJAM81_scaffold_1	4223094	4224672	1	GP3.016130.5	bden_t_86054	GP3.016130.5	4223094	4224672	1	yes
GLEANP3_016140	GLEANP3_016140.t1	bdenJAM81_scaffold_1	4225157	4227091	1	fgenesh1_pg.C_scaffold_1001413.5	bden_t_22540	fgenesh1_pg.C_scaffold_1001413.5	4225157	4227091	1	yes
GLEANP3_016150	GLEANP3_016150.t1	bdenJAM81_scaffold_1	4229717	4231952	1	GP3.016150.5	bden_t_86056	GP3.016150.5	4229717	4231952	1	yes
GLEANP3_016160	GLEANP3_016160.t1	bdenJAM81_scaffold_1	4240465	4242782	1	fgenesh1_pg.C_scaffold_1001419.5	bden_t_22546	fgenesh1_pg.C_scaffold_1001419.5	4240465	4242782	1	yes
GLEANP3_016170	bdenJAM81_scaffold_1	4276473	4277501	1					NO_MATCH
GLEANP3_016180	GLEANP3_016180.t1	bdenJAM81_scaffold_1	4277755	4280205	1	GP3.016180.5	bden_t_86059	GP3.016180.5	4277755	4280205	1	yes
GLEANP3_016190	GLEANP3_016190.t1	bdenJAM81_scaffold_1	4285301	4285797	1	fgenesh1_pg.C_scaffold_1001437.5	bden_t_22564	fgenesh1_pg.C_scaffold_1001437.5	4285301	4286044	1	yes
GLEANP3_016200	GLEANP3_016200.t1	bdenJAM81_scaffold_1	4295897	4297392	1	estExt_fgenesh1_kg.C_10284.5	bden_t_36570	estExt_fgenesh1_kg.C_10284.5	4296356	4297425	1	yes
GLEANP3_016210	GLEANP3_016210.t1	bdenJAM81_scaffold_1	4305487	4306722	1	GP3.016210.5	bden_t_86062	GP3.016210.5	4305487	4306722	1	yes
GLEANP3_016220	GLEANP3_016220.t1	bdenJAM81_scaffold_1	4312466	4313845	1	GP3.016220.5	bden_t_86063	GP3.016220.5	4312466	4313845	1	yes
GLEANP3_016230	GLEANP3_016230.t1	bdenJAM81_scaffold_1	4321895	4325260	1	e_gw1.1.300.1.5	bden_t_8414	e_gw1.1.300.1.5	4322921	4325183	1	yes
GLEANP3_016240	GLEANP3_016240.t1	bdenJAM81_scaffold_1	4331247	4332632	1	GP3.016240.5	bden_t_86065	GP3.016240.5	4331247	4332632	1	yes
GLEANP3_016250	GLEANP3_016250.t1	bdenJAM81_scaffold_1	4366168	4367433	1	GP3.016250.5	bden_t_86066	GP3.016250.5	4366168	4367433	1	yes
GLEANP3_016260	GLEANP3_016260.t1	bdenJAM81_scaffold_1	4368761	4369762	1	GP3.016260.5	bden_t_86067	GP3.016260.5	4368761	4369762	1	yes
GLEANP3_016270	GLEANP3_016270.t1	bdenJAM81_scaffold_1	4371899	4372201	1	GP3.016270.5	bden_t_86068	GP3.016270.5	4371899	4372201	1	yes
GLEANP3_016280	GLEANP3_016280.t1	bdenJAM81_scaffold_1	4373695	4375631	1	GP3.016280.5	bden_t_86069	GP3.016280.5	4373695	4375631	1	yes
GLEANP3_016290	GLEANP3_016290.t1	bdenJAM81_scaffold_1	4376560	4376991	1	fgenesh1_kg.C_scaffold_1000291.5	bden_t_31292	fgenesh1_kg.C_scaffold_1000291.5	4376519	4377072	1	yes
GLEANP3_016300	GLEANP3_016300.t1	bdenJAM81_scaffold_1	4380615	4381853	1	fgenesh1_pg.C_scaffold_1001471.5	bden_t_22598	fgenesh1_pg.C_scaffold_1001471.5	4380615	4382485	1	yes
GLEANP3_016310	GLEANP3_016310.t1	bdenJAM81_scaffold_1	4382024	4382485	1	fgenesh1_pg.C_scaffold_1001471.5	bden_t_22598	fgenesh1_pg.C_scaffold_1001471.5	4380615	4382485	1	yes
GLEANP3_016320	GLEANP3_016320.t1	bdenJAM81_scaffold_1	4382772	4383044	1	fgenesh1_kg.C_scaffold_1000293.5	bden_t_31294	fgenesh1_kg.C_scaffold_1000293.5	4382976	4383743	1	yes
GLEANP3_016330	GLEANP3_016330.t1	bdenJAM81_scaffold_1	4386449	4386637	1	GP3.016330.5	bden_t_86074	GP3.016330.5	4386449	4386637	1	yes
GLEANP3_016340	GLEANP3_016340.t1	bdenJAM81_scaffold_1	4389824	4390060	1	GP3.016340.5	bden_t_86075	GP3.016340.5	4389824	4390060	1	yes
GLEANP3_016350	GLEANP3_016350.t1	bdenJAM81_scaffold_1	4391270	4392172	1	fgenesh1_pg.C_scaffold_1001476.5	bden_t_22603	fgenesh1_pg.C_scaffold_1001476.5	4391270	4392172	1	yes
GLEANP3_016360	GLEANP3_016360.t1	bdenJAM81_scaffold_1	4393102	4393825	1	GP3.016360.5	bden_t_86077	GP3.016360.5	4393102	4393825	1	yes
GLEANP3_016370	GLEANP3_016370.t1	bdenJAM81_scaffold_1	4393859	4394479	1	GP3.016370.5	bden_t_86078	GP3.016370.5	4393859	4394479	1	yes
GLEANP3_016380	GLEANP3_016380.t1	bdenJAM81_scaffold_1	4395336	4396469	1	GP3.016380.5	bden_t_86079	GP3.016380.5	4395336	4396469	1	yes
GLEANP3_016390	GLEANP3_016390.t1	bdenJAM81_scaffold_1	4397013	4397545	1	fgenesh1_pg.C_scaffold_1001479.5	bden_t_22606	fgenesh1_pg.C_scaffold_1001479.5	4397013	4398276	1	yes
GLEANP3_016400	GLEANP3_016400.t1	bdenJAM81_scaffold_1	4397641	4398276	1	fgenesh1_pg.C_scaffold_1001479.5	bden_t_22606	fgenesh1_pg.C_scaffold_1001479.5	4397013	4398276	1	yes
GLEANP3_016410	GLEANP3_016410.t1	bdenJAM81_scaffold_1	4405407	4406042	1	fgenesh1_pg.C_scaffold_1001482.5	bden_t_22609	fgenesh1_pg.C_scaffold_1001482.5	4405407	4406322	1	yes
GLEANP3_016420	GLEANP3_016420.t1	bdenJAM81_scaffold_1	4407833	4408768	1	GP3.016420.5	bden_t_86083	GP3.016420.5	4407833	4408768	1	yes
GLEANP3_016430	GLEANP3_016430.t1	bdenJAM81_scaffold_1	4409983	4410468	1	GP3.016430.5	bden_t_86084	GP3.016430.5	4409983	4410468	1	yes
GLEANP3_016440	GLEANP3_016440.t1	bdenJAM81_scaffold_1	4411564	4411779	1	fgenesh1_pg.C_scaffold_1001483.5	bden_t_22610	fgenesh1_pg.C_scaffold_1001483.5	4411564	4417210	1	yes
GLEANP3_016450	GLEANP3_016450.t1	bdenJAM81_scaffold_1	4415190	4417662	1	fgenesh1_pg.C_scaffold_1001483.5	bden_t_22610	fgenesh1_pg.C_scaffold_1001483.5	4411564	4417210	1	yes
GLEANP3_016460	GLEANP3_016460.t1	bdenJAM81_scaffold_1	4420829	4422107	1	fgenesh1_pg.C_scaffold_1001484.5	bden_t_22611	fgenesh1_pg.C_scaffold_1001484.5	4420246	4422107	1	yes
GLEANP3_016470	GLEANP3_016470.t1	bdenJAM81_scaffold_1	4428435	4428797	1	fgenesh1_pg.C_scaffold_1001486.5	bden_t_22613	fgenesh1_pg.C_scaffold_1001486.5	4428372	4428797	1	yes
GLEANP3_016480	GLEANP3_016480.t1	bdenJAM81_scaffold_2	60861	64743	1	GP3.016480.5	bden_t_86089	GP3.016480.5	60861	64743	1	yes
GLEANP3_016490	GLEANP3_016490.t1	bdenJAM81_scaffold_2	65012	71006	-1	GP3.016490.5	bden_t_86090	GP3.016490.5	65012	71006	-1	yes
GLEANP3_016500	GLEANP3_016500.t1	bdenJAM81_scaffold_2	71389	73108	-1	GP3.016500.5	bden_t_86091	GP3.016500.5	71389	73108	-1	yes
GLEANP3_016510	GLEANP3_016510.t1	bdenJAM81_scaffold_2	73164	76244	1	estExt_fgenesh1_pg.C_20020.5	bden_t_34336	estExt_fgenesh1_pg.C_20020.5	73164	76247	1	yes
GLEANP3_016520	GLEANP3_016520.t1	bdenJAM81_scaffold_2	76021	77460	-1	estExt_fgenesh1_pg.C_20020.5	bden_t_34336	estExt_fgenesh1_pg.C_20020.5	73164	76247	1	yes
GLEANP3_016530	GLEANP3_016530.t1	bdenJAM81_scaffold_2	78450	79539	1	estExt_fgenesh1_kg.C_20002.5	bden_t_36577	estExt_fgenesh1_kg.C_20002.5	78450	79539	1	yes
GLEANP3_016540	GLEANP3_016540.t1	bdenJAM81_scaffold_2	80072	82244	1	estExt_fgenesh1_pm.C_20004.5	bden_t_32831	estExt_fgenesh1_pm.C_20004.5	80076	82242	1	yes
GLEANP3_016550	GLEANP3_016550.t1	bdenJAM81_scaffold_2	82583	83912	1	GP3.016550.5	bden_t_86096	GP3.016550.5	82583	83912	1	yes
GLEANP3_016560	GLEANP3_016560.t1	bdenJAM81_scaffold_2	88106	90894	1	estExt_fgenesh1_pg.C_20028.5	bden_t_34343	estExt_fgenesh1_pg.C_20028.5	90724	95216	-1	no
GLEANP3_016560	GLEANP3_016560.t1	bdenJAM81_scaffold_2	88106	90894	1	estExt_fgenesh1_pg.C_20027.5	bden_t_34342	estExt_fgenesh1_pg.C_20027.5	88106	90739	1	no
GLEANP3_016570	GLEANP3_016570.t1	bdenJAM81_scaffold_2	90724	95216	-1	estExt_fgenesh1_pg.C_20028.5	bden_t_34343	estExt_fgenesh1_pg.C_20028.5	90724	95216	-1	no
GLEANP3_016570	GLEANP3_016570.t1	bdenJAM81_scaffold_2	90724	95216	-1	estExt_fgenesh1_pg.C_20027.5	bden_t_34342	estExt_fgenesh1_pg.C_20027.5	88106	90739	1	no
GLEANP3_016580	GLEANP3_016580.t1	bdenJAM81_scaffold_2	114095	116163	-1	gw1.2.397.1.5	bden_t_5299	gw1.2.397.1.5	114362	115078	-1	yes
GLEANP3_016590	GLEANP3_016590.t1	bdenJAM81_scaffold_2	146709	148348	-1	e_gw1.2.254.1.5	bden_t_9413	e_gw1.2.254.1.5	146709	148341	-1	yes
GLEANP3_016600	GLEANP3_016600.t1	bdenJAM81_scaffold_2	150049	155978	1	estExt_fgenesh1_kg.C_20005.5	bden_t_36580	estExt_fgenesh1_kg.C_20005.5	155277	155976	1	yes
GLEANP3_016610	GLEANP3_016610.t1	bdenJAM81_scaffold_2	156334	157642	1	estExt_Genewise1.C_20029.5	bden_t_15788	estExt_Genewise1.C_20029.5	156334	157642	1	yes
GLEANP3_016620	GLEANP3_016620.t1	bdenJAM81_scaffold_2	159385	163933	1	e_gw1.2.240.1.5	bden_t_9412	e_gw1.2.240.1.5	160701	162601	1	no
GLEANP3_016620	GLEANP3_016620.t1	bdenJAM81_scaffold_2	159385	163933	1	e_gw1.2.423.1.5	bden_t_9482	e_gw1.2.423.1.5	162907	163691	1	no
GLEANP3_016620	GLEANP3_016620.t1	bdenJAM81_scaffold_2	159385	163933	1	fgenesh1_pg.C_scaffold_2000049.5	bden_t_22662	fgenesh1_pg.C_scaffold_2000049.5	159385	160242	1	no
GLEANP3_016630	GLEANP3_016630.t1	bdenJAM81_scaffold_2	164454	167831	1	estExt_fgenesh1_pg.C_20051.5	bden_t_34347	estExt_fgenesh1_pg.C_20051.5	164452	167831	1	yes
GLEANP3_016640	GLEANP3_016640.t1	bdenJAM81_scaffold_2	168136	168985	1	estExt_fgenesh1_pg.C_20052.5	bden_t_34348	estExt_fgenesh1_pg.C_20052.5	168136	168982	1	yes
GLEANP3_016650	GLEANP3_016650.t1	bdenJAM81_scaffold_2	172017	174981	1	estExt_fgenesh1_pm.C_20012.5	bden_t_32836	estExt_fgenesh1_pm.C_20012.5	172813	174981	1	yes
GLEANP3_016660	GLEANP3_016660.t1	bdenJAM81_scaffold_2	178969	180639	-1	e_gw1.2.332.1.5	bden_t_9730	e_gw1.2.332.1.5	178969	180591	-1	yes
GLEANP3_016670	GLEANP3_016670.t1	bdenJAM81_scaffold_2	190235	193540	-1	GP3.016670.5	bden_t_86108	GP3.016670.5	190235	193540	-1	yes
GLEANP3_016680	GLEANP3_016680.t1	bdenJAM81_scaffold_2	193919	194801	1	GP3.016680.5	bden_t_86109	GP3.016680.5	193919	194801	1	yes
GLEANP3_016690	GLEANP3_016690.t1	bdenJAM81_scaffold_2	195027	198499	-1	estExt_fgenesh1_pg.C_20063.5	bden_t_34350	estExt_fgenesh1_pg.C_20063.5	195038	198500	-1	yes
GLEANP3_016700	GLEANP3_016700.t1	bdenJAM81_scaffold_2	200349	201272	1	gw1.2.538.1.5	bden_t_7099	gw1.2.538.1.5	200629	201047	1	yes
GLEANP3_016710	GLEANP3_016710.t1	bdenJAM81_scaffold_2	202995	205251	-1	estExt_fgenesh1_pg.C_20066.5	bden_t_34351	estExt_fgenesh1_pg.C_20066.5	202338	205324	-1	yes
GLEANP3_016720	GLEANP3_016720.t1	bdenJAM81_scaffold_2	212154	214276	1	estExt_fgenesh1_pm.C_20016.5	bden_t_32837	estExt_fgenesh1_pm.C_20016.5	211853	212989	-1	yes
GLEANP3_016730	GLEANP3_016730.t1	bdenJAM81_scaffold_2	218434	221000	-1	fgenesh1_pg.C_scaffold_2000072.5	bden_t_22685	fgenesh1_pg.C_scaffold_2000072.5	218576	220705	-1	yes
GLEANP3_016740	GLEANP3_016740.t1	bdenJAM81_scaffold_2	221269	223365	-1	GP3.016740.5	bden_t_86115	GP3.016740.5	221269	223365	-1	yes
GLEANP3_016750	GLEANP3_016750.t1	bdenJAM81_scaffold_2	223842	225901	-1	estExt_fgenesh1_pg.C_20074.5	bden_t_34355	estExt_fgenesh1_pg.C_20074.5	223842	225996	-1	yes
GLEANP3_016760	GLEANP3_016760.t1	bdenJAM81_scaffold_2	233848	236256	-1	estExt_fgenesh1_pg.C_20078.5	bden_t_34356	estExt_fgenesh1_pg.C_20078.5	233847	237168	-1	yes
GLEANP3_016770	GLEANP3_016770.t1	bdenJAM81_scaffold_2	237348	240427	-1	GP3.016770.5	bden_t_86118	GP3.016770.5	237348	240427	-1	yes
GLEANP3_016780	GLEANP3_016780.t1	bdenJAM81_scaffold_2	240607	242193	1	e_gw1.2.356.1.5	bden_t_9328	e_gw1.2.356.1.5	240607	242169	1	yes
GLEANP3_016790	GLEANP3_016790.t1	bdenJAM81_scaffold_2	242338	246821	1	fgenesh1_kg.C_scaffold_2000011.5	bden_t_31308	fgenesh1_kg.C_scaffold_2000011.5	242342	243467	-1	yes
GLEANP3_016800	GLEANP3_016800.t1	bdenJAM81_scaffold_2	247873	249780	1	estExt_Genewise1.C_20066.5	bden_t_15792	estExt_Genewise1.C_20066.5	248838	249780	1	yes
GLEANP3_016810	GLEANP3_016810.t1	bdenJAM81_scaffold_2	249862	254872	-1	e_gw1.2.22.1.5	bden_t_9648	e_gw1.2.22.1.5	249889	254773	-1	yes
GLEANP3_016820	GLEANP3_016820.t1	bdenJAM81_scaffold_2	254986	256436	-1	GP3.016820.5	bden_t_86123	GP3.016820.5	254986	256436	-1	yes
GLEANP3_016830	GLEANP3_016830.t1	bdenJAM81_scaffold_2	256512	257445	-1	GP3.016830.5	bden_t_86124	GP3.016830.5	256512	257445	-1	yes
GLEANP3_016840	GLEANP3_016840.t1	bdenJAM81_scaffold_2	261620	263069	-1	GP3.016840.5	bden_t_86125	GP3.016840.5	261620	263069	-1	yes
GLEANP3_016850	GLEANP3_016850.t1	bdenJAM81_scaffold_2	273433	276829	-1	estExt_Genewise1Plus.C_20081.5	bden_t_18747	estExt_Genewise1Plus.C_20081.5	273433	276820	-1	yes
GLEANP3_016860	GLEANP3_016860.t1	bdenJAM81_scaffold_2	278356	279603	1	fgenesh1_kg.C_scaffold_2000012.5	bden_t_31309	fgenesh1_kg.C_scaffold_2000012.5	278358	279601	-1	yes
GLEANP3_016870	GLEANP3_016870.t1	bdenJAM81_scaffold_2	280210	281404	1	estExt_fgenesh1_kg.C_20013.5	bden_t_36587	estExt_fgenesh1_kg.C_20013.5	280402	281404	-1	yes
GLEANP3_016880	GLEANP3_016880.t1	bdenJAM81_scaffold_2	283725	285134	1	estExt_Genewise1Plus.C_20082.5	bden_t_18748	estExt_Genewise1Plus.C_20082.5	283724	285134	1	yes
GLEANP3_016890	GLEANP3_016890.t1	bdenJAM81_scaffold_2	286713	288942	-1	GP3.016890.5	bden_t_86130	GP3.016890.5	286713	288942	-1	yes
GLEANP3_016900	GLEANP3_016900.t1	bdenJAM81_scaffold_2	294402	295816	-1	estExt_fgenesh1_pg.C_20101.5	bden_t_34364	estExt_fgenesh1_pg.C_20101.5	294402	295816	-1	yes
GLEANP3_016910	GLEANP3_016910.t1	bdenJAM81_scaffold_2	296493	298283	-1	estExt_fgenesh1_pg.C_20102.5	bden_t_34365	estExt_fgenesh1_pg.C_20102.5	296494	298283	-1	yes
GLEANP3_016920	GLEANP3_016920.t1	bdenJAM81_scaffold_2	299347	302636	-1	estExt_fgenesh1_pg.C_20103.5	bden_t_34366	estExt_fgenesh1_pg.C_20103.5	299347	302636	-1	yes
